41,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
13,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
41,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
41,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
13,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
13,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
41,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
41,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
20,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
13,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
10,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
10,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
20,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
41,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
41,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
20,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
20,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
20,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
8,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
4,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
4,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
41,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
41,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
8,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
41,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
20,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
13,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
41,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
20,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
